# Coexpression analysis
# Randomly chosen genes, March 17
# MIC
# GeneA	GeneB	MIC.val.random
23225	5253	0.27352947269194
23225	8420	0.314463756708813
23225	695	0.309269935724205
23225	1418	0.270206937709047
23225	3069	0.313659407157738
23225	7043	0.259352044565902
23225	23172	0.219685097169176
23225	84148	0.266867132998458
23225	11013	0.304909112734375
23225	55707	0.254443801780575
23225	5601	0.243161967123406
22982	83700	0.740924496474586
22982	2968	0.42295575667667
22982	5253	0.491455837421119
22982	8420	0.610087488007843
22982	695	0.297154026558837
22982	1418	0.45941787981094
22982	3069	0.375058229408443
22982	7043	0.770670447673561
22982	23172	0.364956125248928
22982	84148	0.620077030895757
22982	11013	0.594557971639108
22982	55707	0.250222735905855
22982	5601	0.3613782085023
83700	2968	0.374843509196553
83700	5253	0.476693170544623
83700	8420	0.468442025035918
83700	695	0.250944586753593
83700	1418	0.385544786924856
83700	3069	0.366143432118417
83700	7043	0.66085940256385
83700	23172	0.38010753616979
83700	84148	0.54659596946408
83700	11013	0.539816633408986
83700	55707	0.268204584954516
83700	5601	0.35247300552365
2968	5253	0.340786409309586
2968	8420	0.493710833040831
2968	695	0.213608158589075
2968	1418	0.370208555774913
2968	3069	0.253644515588583
2968	7043	0.352948037113627
2968	23172	0.272997103019363
2968	84148	0.347057013214837
2968	11013	0.401264805914616
2968	55707	0.25086922869102
2968	5601	0.291830308768999
5253	8420	0.528498785049285
5253	695	0.239065081927309
5253	1418	0.395176612756276
5253	3069	0.233815533192713
5253	7043	0.564344357289965
5253	23172	0.347166016613204
5253	84148	0.478946566475902
5253	11013	0.51702651291896
5253	55707	0.288599149475675
5253	5601	0.264986166356818
8420	695	0.322498905176686
8420	1418	0.530940013682852
8420	3069	0.269010948607744
8420	7043	0.694378554263274
8420	23172	0.473035522223076
8420	84148	0.627921140282895
8420	11013	0.660169475366173
8420	55707	0.293993466818062
8420	5601	0.360101794874062
695	1418	0.258008149088709
695	3069	0.250411538082619
695	7043	0.270119771563427
695	23172	0.257076491086864
695	84148	0.351210305802603
695	11013	0.285869544900622
695	55707	0.191704289289062
695	5601	0.205060155717793
1418	3069	0.221233218256118
1418	7043	0.461008066831413
1418	23172	0.367216172476111
1418	84148	0.470163378032676
1418	11013	0.498759911001115
1418	55707	0.228773746097119
1418	5601	0.311955876311981
3069	7043	0.289493739173178
3069	23172	0.277400741347782
3069	84148	0.309877949599492
3069	11013	0.313909168212765
3069	55707	0.216928693190147
3069	5601	0.254464650336216
7043	23172	0.417142200755644
7043	84148	0.683123867662058
7043	11013	0.594764652095375
7043	55707	0.267606481699956
7043	5601	0.419570241594596
23172	84148	0.334209335977363
23172	11013	0.401450102282463
23172	55707	0.287855551784109
23172	5601	0.250107001131001
84148	11013	0.543227121376467
84148	55707	0.334815587863441
84148	5601	0.298649879751762
11013	55707	0.253327187643345
11013	5601	0.339216452766725
55707	5601	0.212723102318305
