Input Value	Input Type	Gene ID	
ENSG00000016082	Ensembl Gene ID	3670	
ENSG00000016391	Ensembl Gene ID	55349	
ENSG00000016402	Ensembl Gene ID	53832	
ENSG00000016490	Ensembl Gene ID	1179	
ENSG00000016602	Ensembl Gene ID	22802	
ENSG00000016864	Ensembl Gene ID	55830	
ENSG00000017260	Ensembl Gene ID	27032	
ENSG00000017427	Ensembl Gene ID	3479	
ENSG00000017483	Ensembl Gene ID	92745	
ENSG00000017797	Ensembl Gene ID	10928	
ENSG00000018189	Ensembl Gene ID	22902	
ENSG00000018236	Ensembl Gene ID	1272	
ENSG00000018280	Ensembl Gene ID	6556	
ENSG00000018408	Ensembl Gene ID	25937	
ENSG00000018510	Ensembl Gene ID	8540	
ENSG00000018607	Ensembl Gene ID	-	
ENSG00000018610	Ensembl Gene ID	63932	
ENSG00000018625	Ensembl Gene ID	477	
ENSG00000018699	Ensembl Gene ID	55622	
ENSG00000018869	Ensembl Gene ID	147948	
ENSG00000019102	Ensembl Gene ID	23584	
ENSG00000019144	Ensembl Gene ID	23187	
ENSG00000019169	Ensembl Gene ID	8685	
ENSG00000019186	Ensembl Gene ID	1591	
ENSG00000019485	Ensembl Gene ID	56981	
ENSG00000019505	Ensembl Gene ID	57586	
ENSG00000019549	Ensembl Gene ID	6591	
ENSG00000019582	Ensembl Gene ID	972	
ENSG00000019991	Ensembl Gene ID	3082	
ENSG00000019995	Ensembl Gene ID	54764	
ENSG00000020129	Ensembl Gene ID	23154	
ENSG00000020181	Ensembl Gene ID	25960	
ENSG00000020219	Ensembl Gene ID	-	
ENSG00000020256	Ensembl Gene ID	55734	
ENSG00000020426	Ensembl Gene ID	4331	
ENSG00000020577	Ensembl Gene ID	23034	
ENSG00000020633	Ensembl Gene ID	864	
ENSG00000020922	Ensembl Gene ID	4361	
ENSG00000021300	Ensembl Gene ID	58473	
ENSG00000021355	Ensembl Gene ID	1992	
ENSG00000021461	Ensembl Gene ID	64816	
ENSG00000021488	Ensembl Gene ID	11136	
ENSG00000021574	Ensembl Gene ID	6683	
ENSG00000021645	Ensembl Gene ID	9369	
ENSG00000021762	Ensembl Gene ID	114879	
ENSG00000021776	Ensembl Gene ID	9716	
ENSG00000021826	Ensembl Gene ID	1373	
ENSG00000021852	Ensembl Gene ID	732	
ENSG00000022267	Ensembl Gene ID	2273	
ENSG00000022277	Ensembl Gene ID	51507	
ENSG00000022355	Ensembl Gene ID	2554	
ENSG00000022556	Ensembl Gene ID	55655	
ENSG00000022567	Ensembl Gene ID	57210	
ENSG00000022840	Ensembl Gene ID	9921	
ENSG00000022976	Ensembl Gene ID	55778	
ENSG00000023041	Ensembl Gene ID	64429	
ENSG00000023171	Ensembl Gene ID	57476	
ENSG00000023191	Ensembl Gene ID	6050	
ENSG00000023228	Ensembl Gene ID	4719	
ENSG00000023287	Ensembl Gene ID	9821	
ENSG00000023318	Ensembl Gene ID	23071	
ENSG00000023330	Ensembl Gene ID	211	
ENSG00000023445	Ensembl Gene ID	330	
ENSG00000023516	Ensembl Gene ID	11215	
ENSG00000023572	Ensembl Gene ID	51022	
ENSG00000023608	Ensembl Gene ID	6617	
ENSG00000023697	Ensembl Gene ID	51071	
ENSG00000023734	Ensembl Gene ID	11171	
ENSG00000023839	Ensembl Gene ID	1244	
ENSG00000023892	Ensembl Gene ID	50619	
ENSG00000023902	Ensembl Gene ID	51177	
ENSG00000023909	Ensembl Gene ID	2730	
ENSG00000024048	Ensembl Gene ID	23304	
ENSG00000024422	Ensembl Gene ID	30846	
ENSG00000024526	Ensembl Gene ID	55635	
ENSG00000024862	Ensembl Gene ID	25901	
ENSG00000025039	Ensembl Gene ID	58528	
ENSG00000025156	Ensembl Gene ID	3298	
ENSG00000025293	Ensembl Gene ID	51230	
ENSG00000025423	Ensembl Gene ID	8630	
ENSG00000025434	Ensembl Gene ID	10062	
ENSG00000025708	Ensembl Gene ID	1890	
ENSG00000025770	Ensembl Gene ID	29781	
