"","Gene 1","Gene 2","PATHNEScore"
2127,5148,22982,0
2128,5148,553194,0
2129,5148,100422533,0
2130,5148,280664,0
2131,5148,100505953,0
2132,5148,643873,0
2133,5148,83700,0
2134,5148,123099,0.0144418423106948
2135,5148,50631,0
2136,5148,2968,0.00663899570693198
2137,5148,5253,0
2138,5148,253314,0.00485268362854003
2139,5148,574028,0
2140,5148,390181,0.0166994026526273
2141,5148,100271161,0
2142,5148,642819,0
2143,5148,100506888,0
2144,5148,8420,0
2145,5148,695,0.00378477521621549
2146,5148,344387,0
2147,5148,1418,0
2148,5148,3069,0
2149,5148,7043,0.00326641738084061
2150,5148,26749,0
2151,5148,574499,0
2152,5148,23172,0
2153,5148,149281,0
2154,5148,17,0
2155,5148,100420149,0
2156,5148,100128589,0
2157,5148,100874235,0
2158,5148,390318,0
2159,5148,100129650,0
2160,5148,359732,0
2161,5148,100419098,0
2162,5148,58499,0
2163,5148,326286,0
2164,5148,100874208,0
2165,5148,442195,0
2166,5148,84148,0
2167,5148,11013,0
2168,5148,102466727,0
2169,5148,166336,0
2170,5148,83982,0
2171,5148,442720,0
2172,5148,55707,0
2173,5148,5601,0.00866229847507998
2174,5148,100272220,0
2175,5148,220885,0
2176,319087,401409,0
2177,319087,7212,0
2178,319087,100873800,0
2179,319087,2218,0
2180,319087,100616225,0
2181,319087,100189182,0
2182,319087,7204,0
2183,319087,102465855,0
2184,319087,100131012,0
2185,319087,403275,0
2186,319087,728971,0
2187,319087,100873910,0
2188,319087,693212,0
2189,319087,285016,0
2190,319087,23225,0
2191,319087,89838,0
2192,319087,375295,0
2193,319087,100419187,0
2194,319087,151531,0
2195,319087,100271101,0
2196,319087,84838,0
2197,319087,100303728,0
2198,319087,100048905,0
2199,319087,100129480,0
2200,319087,100996539,0
2201,319087,22982,0
2202,319087,553194,0
2203,319087,100422533,0
2204,319087,280664,0
2205,319087,100505953,0
2206,319087,643873,0
2207,319087,83700,0
2208,319087,123099,0
2209,319087,50631,0
2210,319087,2968,0
2211,319087,5253,0
