"","Gene 1","Gene 2","GOSEMScore"
"793",489,29763,0.3385
"794",489,5538,0.332
"795",489,5879,0.2945
"796",489,6441,0.2795
"797",489,124912,0.2935
"798",489,11037,0.254
"799",489,85439,0.337
"800",489,9765,0.405
"801",27032,776,0.44
"802",27032,781,0.344
"803",27032,784,0.49
"804",27032,785,0.45
"805",27032,6355,0.279
"806",27032,1139,0.5335
"807",27032,1447,0.231
"808",27032,10316,0.468
"809",27032,56923,0.5075
"810",27032,4852,0.222
"811",27032,84876,0.4755
"812",27032,5350,0.5075
"813",27032,6261,0.5235
"814",27032,6263,0.537
"815",27032,6546,0.4655
"816",27032,6588,0.5125
"817",27032,6786,0.5175
"818",27032,57620,0.564
"819",27032,7220,0.509
"820",27032,7222,0.502
"821",27032,7223,0.4355
"822",27032,7224,0.485
"823",27032,7226,0.4675
"824",27032,56302,0.4665
"825",27032,1175,0.3695
"826",27032,382,0.405
"827",27032,566,0.254
"828",27032,867,0.346
"829",27032,1012,0.3285
"830",27032,2624,0.2635
"831",27032,26119,0.41
"832",27032,29763,0.2715
"833",27032,5538,0.41
"834",27032,5879,0.492
"835",27032,6441,0.241
"836",27032,124912,0.2355
"837",27032,11037,0.22
"838",27032,85439,0.238
"839",27032,9765,0.3825
"840",776,781,0.4965
"841",776,784,0.626
"842",776,785,0.6285
"843",776,6355,0.2955
"844",776,1139,0.592
"845",776,1447,0.256
"846",776,10316,0.537
"847",776,56923,0.546
"848",776,4852,0.304
"849",776,84876,0.5055
"850",776,5350,0.5205
"851",776,6261,0.517
"852",776,6263,0.405
"853",776,6546,0.621
"854",776,6588,0.453
"855",776,6786,0.4595
"856",776,57620,0.53
"857",776,7220,0.586
"858",776,7222,0.604
"859",776,7223,0.5795
"860",776,7224,0.6565
"861",776,7226,0.5395
"862",776,56302,0.5415
"863",776,1175,0.4135
"864",776,382,0.3985
"865",776,566,0.235
"866",776,867,0.403
"867",776,1012,0.3285
"868",776,2624,0.2595
"869",776,26119,0.3605
"870",776,29763,0.2565
"871",776,5538,0.321
"872",776,5879,0.4045
"873",776,6441,0.243
"874",776,124912,0.2055
"875",776,11037,0.2975
"876",776,85439,0.275
"877",776,9765,0.278
"878",781,784,0.4825
"879",781,785,0.464
"880",781,1139,0.396
"881",781,1447,0.62
"882",781,10316,0.3715
"883",781,56923,0.332
"884",781,4852,0.3315
"885",781,84876,0.543
"886",781,5350,0.348
"887",781,6261,0.37
"888",781,6263,0.382
"889",781,6546,0.3145
"890",781,6588,0.433
"891",781,6786,0.47
"892",781,57620,0.5195
"893",781,7220,0.477
"894",781,7222,0.401
"895",781,7223,0.556
"896",781,7224,0.6045
"897",781,7226,0.5975
"898",781,56302,0.537
"899",781,197,0.4295
"900",781,1175,0.2995
"901",781,382,0.2945
"902",781,566,0.3945
"903",781,1012,0.2925
"904",781,26119,0.2865
"905",781,29763,0.5025
"906",781,5538,0.2855
"907",781,5879,0.254
"908",781,6441,0.3275
"909",781,124912,0.317
"910",781,11037,0.3055
"911",781,85439,0.292
"912",781,9765,0.2525
"913",784,785,0.803
"914",784,6355,0.3285
"915",784,1139,0.5165
"916",784,1447,0.2395
"917",784,10316,0.4155
"918",784,56923,0.467
"919",784,4852,0.2855
"920",784,84876,0.5235
"921",784,5350,0.478
"922",784,6261,0.4235
"923",784,6263,0.4385
"924",784,6546,0.428
"925",784,6588,0.4335
"926",784,6786,0.4445
"927",784,57620,0.4865
"928",784,7220,0.5545
"929",784,7222,0.53
"930",784,7223,0.5715
"931",784,7224,0.6475
"932",784,7226,0.4985
"933",784,56302,0.4985
"934",784,1175,0.5035
"935",784,382,0.382
"936",784,867,0.443
"937",784,1012,0.284
"938",784,26119,0.391
"939",784,29763,0.2565
"940",784,5538,0.3905
"941",784,5879,0.4355
"942",784,6441,0.2465
"943",784,124912,0.208
"944",784,11037,0.254
"945",784,85439,0.3185
"946",784,9765,0.3315
"947",785,6355,0.338
"948",785,1139,0.5315
"949",785,1447,0.265
"950",785,10316,0.461
"951",785,56923,0.495
"952",785,4852,0.29
"953",785,84876,0.4845
"954",785,5350,0.446
"955",785,6261,0.456
"956",785,6263,0.4155
"957",785,6546,0.4675
"958",785,6588,0.4185
"959",785,6786,0.47
"960",785,57620,0.531
"961",785,7220,0.598
"962",785,7222,0.577
"963",785,7223,0.602
"964",785,7224,0.671
"965",785,7226,0.556
"966",785,56302,0.5545
"967",785,1175,0.5095
"968",785,382,0.3925
"969",785,867,0.4485
"970",785,1012,0.316
"971",785,26119,0.4385
"972",785,29763,0.253
"973",785,5538,0.4095
"974",785,5879,0.43
"975",785,6441,0.235
"976",785,11037,0.254
"977",785,85439,0.299
"978",785,9765,0.3115
"979",6355,1139,0.304
"980",6355,1447,0.2305
"981",6355,10316,0.2295
"982",6355,56923,0.2675
"983",6355,4852,0.2045
"984",6355,84876,0.209
"985",6355,5350,0.2445
"986",6355,6261,0.2135
"987",6355,6263,0.208
"988",6355,6546,0.246
"989",6355,6588,0.237
"990",6355,6786,0.223
"991",6355,57620,0.2475
"992",6355,7220,0.324
"993",6355,7222,0.298
"994",6355,7223,0.287
"995",6355,7224,0.268
"996",6355,197,0.2145
"997",6355,1175,0.282
"998",6355,382,0.2025
"999",6355,566,0.2165
"1000",6355,867,0.2465
"1001",6355,26119,0.253
"1002",6355,5879,0.223
"1003",6355,6441,0.233
"1004",6355,124912,0.203
"1005",6355,11037,0.342
"1006",6355,9765,0.231
"1007",1139,1447,0.209
"1008",1139,10316,0.658
"1009",1139,56923,0.6985
"1010",1139,4852,0.298
"1011",1139,84876,0.548
"1012",1139,5350,0.446
"1013",1139,6261,0.5265
"1014",1139,6263,0.5305
"1015",1139,6546,0.576
"1016",1139,6588,0.5145
"1017",1139,6786,0.477
"1018",1139,57620,0.494
"1019",1139,7220,0.6935
"1020",1139,7222,0.692
"1021",1139,7223,0.517
"1022",1139,7224,0.6415
"1023",1139,7226,0.5935
"1024",1139,56302,0.5825
"1025",1139,197,0.2125
"1026",1139,1175,0.4005
"1027",1139,382,0.334
"1028",1139,566,0.212
"1029",1139,867,0.418
"1030",1139,1012,0.36
"1031",1139,2624,0.242
"1032",1139,26119,0.351
"1033",1139,5538,0.2785
"1034",1139,5879,0.3795
"1035",1139,6441,0.2245
"1036",1139,11037,0.2275
"1037",1139,9765,0.246
"1038",1447,10316,0.2025
"1039",1447,4852,0.507
"1040",1447,84876,0.3565
"1041",1447,5350,0.2755
"1042",1447,6261,0.309
"1043",1447,6546,0.227
"1044",1447,6588,0.3285
"1045",1447,6786,0.317
"1046",1447,57620,0.3305
"1047",1447,7220,0.2805
"1048",1447,7222,0.259
"1049",1447,7223,0.309
"1050",1447,7224,0.291
"1051",1447,7226,0.328
"1052",1447,56302,0.287
"1053",1447,197,0.574
"1054",1447,382,0.203
"1055",1447,566,0.428
"1056",1447,1012,0.2755
"1057",1447,29763,0.476
"1058",1447,5538,0.265
"1059",1447,5879,0.2255
"1060",1447,6441,0.369
"1061",1447,124912,0.322
"1062",10316,56923,0.8195
"1063",10316,4852,0.2175
"1064",10316,84876,0.577
